id,year,state_name,state_code,district_name,district_code,crop_name,crop_code,crop_type,season,area,area_unit,production,production_unit,yield,yield_unit,old_district_name,actual_rainfall,rfs_rainfall,normal_rainfall,rainfall_deviation,agri_year,irrigation_food_category,irrigation_crop_type,irrigation_crop_name,irrigation_crop_code,irrigation_season,crop_irrigation_area,total_irrigated_area
428699,2021-2022,Telangana,36,Kumuram Bheem Asifabad,699,Gram,201.0,Pulses,Rabi,2990.0,Hectare,3989.0,Tonnes,1.334,Tonnes/Hectare,Adilabad,1417.6999999999996,762.8942399207006,1103.5999999999992,47.542024516481625,2021-2022,Food Crop,Pulses,Gram,201.0,Rabi,51798.0,1041832.0
428863,2021-2022,Telangana,36,Mancherial,684,Gram,201.0,Pulses,Rabi,172.0,Hectare,254.0,Tonnes,1.477,Tonnes/Hectare,Adilabad,1417.6999999999996,762.8942399207006,1103.5999999999992,47.542024516481625,2021-2022,Food Crop,Pulses,Gram,201.0,Rabi,51798.0,1041832.0
429258,2021-2022,Telangana,36,Nirmal,680,Gram,201.0,Pulses,Rabi,27428.0,Hectare,42980.0,Tonnes,1.567,Tonnes/Hectare,Adilabad,1417.6999999999996,762.8942399207006,1103.5999999999992,47.542024516481625,2021-2022,Food Crop,Pulses,Gram,201.0,Rabi,51798.0,1041832.0
450158,2022-2023,Telangana,36,Adilabad,501,Gram,201.0,Pulses,Rabi,43620.0,Hectare,70054.0,Tonnes,1.606,Tonnes/Hectare,Adilabad,1907.2999999999984,1040.0245319448004,1103.5999999999992,68.3522533262958,2022-2023,Food Crop,Pulses,Gram,201.0,Rabi,66853.0,1040598.0
450654,2022-2023,Telangana,36,Kumuram Bheem Asifabad,699,Gram,201.0,Pulses,Rabi,3188.0,Hectare,4205.0,Tonnes,1.319,Tonnes/Hectare,Adilabad,1907.2999999999984,1040.0245319448004,1103.5999999999992,68.3522533262958,2022-2023,Food Crop,Pulses,Gram,201.0,Rabi,66853.0,1040598.0
450810,2022-2023,Telangana,36,Mancherial,684,Gram,201.0,Pulses,Rabi,75.0,Hectare,118.0,Tonnes,1.573,Tonnes/Hectare,Adilabad,1907.2999999999984,1040.0245319448004,1103.5999999999992,68.3522533262958,2022-2023,Food Crop,Pulses,Gram,201.0,Rabi,66853.0,1040598.0
451145,2022-2023,Telangana,36,Nirmal,680,Gram,201.0,Pulses,Rabi,27370.0,Hectare,44312.0,Tonnes,1.619,Tonnes/Hectare,Adilabad,1907.2999999999984,1040.0245319448004,1103.5999999999992,68.3522533262958,2022-2023,Food Crop,Pulses,Gram,201.0,Rabi,66853.0,1040598.0
322609,2016-2017,Telangana,36,Mancherial,684,Groundnut,1001.0,Oilseeds,Kharif,2.0,Hectare,4.0,Tonnes,2.0,Tonnes/Hectare,Adilabad,1268.01,695.2351840497998,1103.5999999999992,-22.99744870822964,2016-2017,Non Food Crop,Oilseeds,Groundnut,1001.0,Kharif,2208.0,824372.0
343221,2017-2018,Telangana,36,Mancherial,684,Groundnut,1001.0,Oilseeds,Kharif,1.0,Hectare,2.0,Tonnes,2.0,Tonnes/Hectare,Adilabad,920.3600000000002,504.6567939128999,1103.5999999999992,19.96810455707852,2017-2018,Non Food Crop,Oilseeds,Groundnut,1001.0,Kharif,1455.0,901526.0
363462,2018-2019,Telangana,36,Adilabad,501,Groundnut,1001.0,Oilseeds,Kharif,8.0,Hectare,20.0,Tonnes,2.5,Tonnes/Hectare,Adilabad,1302.1600000000003,713.9994093663,1103.5999999999992,75.47406806012893,2018-2019,Non Food Crop,Oilseeds,Groundnut,1001.0,Kharif,1124.0,944546.0
