id,year,state_name,state_code,district_name,district_code,food_category,crop_type,sub_crop_type,crop_name,crop_code,season,area,old_district_name
477740,2018-2019,Telangana,36,Khammam,509.0,Food Crop,Pulses,Pulses,Other Pulses,288.0,Summer,,Khammam
477741,2018-2019,Telangana,36,Khammam,509.0,Food Crop,Sugar,Sugar,Sugarcane,401.0,,6449.0,Khammam
477742,2018-2019,Telangana,36,Khammam,509.0,Non Food Crop,"Drugs, Narcotics and plantation Crop","Drugs, Narcotics and plantation Crop",Coffee,1502.0,,,Khammam
477743,2018-2019,Telangana,36,Khammam,509.0,Non Food Crop,"Drugs, Narcotics and plantation Crop","Drugs, Narcotics and plantation Crop",Other Plantation Crops,1588.0,,,Khammam
477744,2018-2019,Telangana,36,Khammam,509.0,Non Food Crop,"Drugs, Narcotics and plantation Crop","Drugs, Narcotics and plantation Crop",Tea,1501.0,,,Khammam
477745,2018-2019,Telangana,36,Khammam,509.0,Non Food Crop,"Drugs, Narcotics and plantation Crop","Drugs, Narcotics and plantation Crop",Tobacco,1302.0,,6.0,Khammam
477746,2018-2019,Telangana,36,Khammam,509.0,Non Food Crop,Fiber,Fiber,Cotton,1101.0,,44203.0,Khammam
477747,2018-2019,Telangana,36,Khammam,509.0,Non Food Crop,Fiber,Fiber,Jute,1102.0,,,Khammam
477748,2018-2019,Telangana,36,Khammam,509.0,Non Food Crop,Fiber,Fiber,Mesta,1103.0,,,Khammam
477749,2018-2019,Telangana,36,Khammam,509.0,Non Food Crop,Fiber,Fiber,Other Fibres,1188.0,,,Khammam
477750,2018-2019,Telangana,36,Khammam,509.0,Non Food Crop,Fiber,Fiber,Sanhemp,1104.0,,,Khammam
477751,2018-2019,Telangana,36,Khammam,509.0,Non Food Crop,Fodder Crops,Fodder Crops,Fodder Crops,1488.0,,62.0,Khammam
477752,2018-2019,Telangana,36,Khammam,509.0,Non Food Crop,Oilseeds,Oilseeds,Groundnut,1001.0,,1236.0,Khammam
477753,2018-2019,Telangana,36,Khammam,509.0,Non Food Crop,Oilseeds,Oilseeds,Linseed,1005.0,,,Khammam
477754,2018-2019,Telangana,36,Khammam,509.0,Non Food Crop,Oilseeds,Oilseeds,Other Oilseeds,1088.0,,1698.0,Khammam
477755,2018-2019,Telangana,36,Khammam,509.0,Non Food Crop,Oilseeds,Oilseeds,Rapeseed and Mustard,1004.0,,,Khammam
477756,2018-2019,Telangana,36,Khammam,509.0,Non Food Crop,Oilseeds,Oilseeds,Sesamum,1003.0,,3.0,Khammam
477757,2018-2019,Telangana,36,Khammam,509.0,Non Food Crop,Oilseeds,Oilseeds,Soyabean,1009.0,,,Khammam
477758,2018-2019,Telangana,36,Khammam,509.0,Non Food Crop,Oilseeds,Oilseeds,Sunflower,1007.0,,7.0,Khammam
477759,2018-2019,Telangana,36,Khammam,509.0,Non Food Crop,Other Non Food Crops,Other Non Food Crops,Other Non Food Crops,1888.0,,2116.0,Khammam
477760,2018-2019,Telangana,36,Kumuram Bheem Asifabad,699.0,Food Crop,Cereals & Millets,Cereals & Millets,Bajra,103.0,,,Adilabad
477761,2018-2019,Telangana,36,Kumuram Bheem Asifabad,699.0,Food Crop,Cereals & Millets,Cereals & Millets,Barley,107.0,,,Adilabad
477762,2018-2019,Telangana,36,Kumuram Bheem Asifabad,699.0,Food Crop,Cereals & Millets,Cereals & Millets,Jowar,102.0,Kharif,,Adilabad
477763,2018-2019,Telangana,36,Kumuram Bheem Asifabad,699.0,Food Crop,Cereals & Millets,Cereals & Millets,Jowar,102.0,Rabi,216.0,Adilabad
477764,2018-2019,Telangana,36,Kumuram Bheem Asifabad,699.0,Food Crop,Cereals & Millets,Cereals & Millets,Jowar,102.0,Summer,,Adilabad
477765,2018-2019,Telangana,36,Kumuram Bheem Asifabad,699.0,Food Crop,Cereals & Millets,Cereals & Millets,Maize,104.0,,224.0,Adilabad
477766,2018-2019,Telangana,36,Kumuram Bheem Asifabad,699.0,Food Crop,Cereals & Millets,Cereals & Millets,Other Cereals and Millets,188.0,Kharif,,Adilabad
477767,2018-2019,Telangana,36,Kumuram Bheem Asifabad,699.0,Food Crop,Cereals & Millets,Cereals & Millets,Other Cereals and Millets,188.0,Rabi,,Adilabad
477768,2018-2019,Telangana,36,Kumuram Bheem Asifabad,699.0,Food Crop,Cereals & Millets,Cereals & Millets,Other Cereals and Millets,188.0,Summer,,Adilabad
477769,2018-2019,Telangana,36,Kumuram Bheem Asifabad,699.0,Food Crop,Cereals & Millets,Cereals & Millets,Ragi,105.0,,11.0,Adilabad
