id,year,state_name,state_code,district_name,district_code,crop_name,crop_code,crop_type,season,area,area_unit,production,production_unit,yield,yield_unit,old_district_name
284737,2014-2015,Telangana,36,Adilabad,501,Sunflower,1007.0,Oilseeds,Rabi,530.0,Hectare,494.0,Tonnes,0.932,Tonnes/Hectare,Adilabad
284738,2014-2015,Telangana,36,Adilabad,501,Sweet Potato,703.0,Vegetable,Rabi,15.0,Hectare,116.0,Tonnes,7.733,Tonnes/Hectare,Adilabad
284739,2014-2015,Telangana,36,Adilabad,501,Tobacco,1302.0,Drugs And Narcotics,Rabi,21.0,Hectare,50.0,Tonnes,2.381,Tonnes/Hectare,Adilabad
284740,2014-2015,Telangana,36,Adilabad,501,Turmeric,504.0,Spices,Kharif,7089.0,Hectare,45745.0,Tonnes,6.453,Tonnes/Hectare,Adilabad
284741,2014-2015,Telangana,36,Adilabad,501,Urad,203.0,Pulses,Kharif,3460.0,Hectare,3045.0,Tonnes,0.88,Tonnes/Hectare,Adilabad
284742,2014-2015,Telangana,36,Adilabad,501,Urad,203.0,Pulses,Rabi,202.0,Hectare,82.0,Tonnes,0.406,Tonnes/Hectare,Adilabad
284743,2014-2015,Telangana,36,Adilabad,501,Urad,203.0,Pulses,Total,3662.0,Hectare,3127.0,Tonnes,0.854,Tonnes/Hectare,Adilabad
284744,2014-2015,Telangana,36,Adilabad,501,Wheat,106.0,Cereals,Rabi,2997.0,Hectare,3563.0,Tonnes,1.189,Tonnes/Hectare,Adilabad
284745,2014-2015,Telangana,36,Karimnagar,508,Arhar/Tur,202.0,Pulses,Kharif,3126.0,Hectare,2254.0,Tonnes,0.721,Tonnes/Hectare,Karimnagar
284746,2014-2015,Telangana,36,Karimnagar,508,Arhar/Tur,202.0,Pulses,Rabi,13.0,Hectare,9.0,Tonnes,0.692,Tonnes/Hectare,Karimnagar
284747,2014-2015,Telangana,36,Karimnagar,508,Arhar/Tur,202.0,Pulses,Total,3139.0,Hectare,2263.0,Tonnes,0.721,Tonnes/Hectare,Karimnagar
284748,2014-2015,Telangana,36,Karimnagar,508,Bajra,103.0,Cereals,Rabi,1503.0,Hectare,1408.0,Tonnes,0.937,Tonnes/Hectare,Karimnagar
284749,2014-2015,Telangana,36,Karimnagar,508,Banana,606.0,Fruits,Kharif,31.0,Hectare,1307.0,Tonnes,42.161,Tonnes/Hectare,Karimnagar
284750,2014-2015,Telangana,36,Karimnagar,508,Castor Seed,1002.0,Oilseeds,Kharif,66.0,Hectare,38.0,Tonnes,0.576,Tonnes/Hectare,Karimnagar
284751,2014-2015,Telangana,36,Karimnagar,508,Coriander,509.0,Spices,Whole Year,15.0,Hectare,4.0,Tonnes,0.267,Tonnes/Hectare,Karimnagar
284752,2014-2015,Telangana,36,Karimnagar,508,Cotton(Lint),1101.0,Fiber Crops,Kharif,214586.0,Hectare,585694.0,Tonnes,2.729,Tonnes/Hectare,Karimnagar
284753,2014-2015,Telangana,36,Karimnagar,508,Cowpea(Lobia),288.0,Pulses,Kharif,251.0,Hectare,365.0,Tonnes,1.454,Tonnes/Hectare,Karimnagar
284754,2014-2015,Telangana,36,Karimnagar,508,Cowpea(Lobia),288.0,Pulses,Rabi,2650.0,Hectare,4545.0,Tonnes,1.715,Tonnes/Hectare,Karimnagar
284755,2014-2015,Telangana,36,Karimnagar,508,Cowpea(Lobia),288.0,Pulses,Total,2901.0,Hectare,4910.0,Tonnes,1.693,Tonnes/Hectare,Karimnagar
284756,2014-2015,Telangana,36,Karimnagar,508,Dry Chillies,502.0,Spices,Kharif,3923.0,Hectare,9835.0,Tonnes,2.507,Tonnes/Hectare,Karimnagar
284757,2014-2015,Telangana,36,Karimnagar,508,Dry Chillies,502.0,Spices,Rabi,415.0,Hectare,1702.0,Tonnes,4.101,Tonnes/Hectare,Karimnagar
284758,2014-2015,Telangana,36,Karimnagar,508,Dry Chillies,502.0,Spices,Total,4338.0,Hectare,11537.0,Tonnes,2.66,Tonnes/Hectare,Karimnagar
284759,2014-2015,Telangana,36,Karimnagar,508,Gram,201.0,Pulses,Rabi,1719.0,Hectare,2121.0,Tonnes,1.234,Tonnes/Hectare,Karimnagar
284760,2014-2015,Telangana,36,Karimnagar,508,Groundnut,1001.0,Oilseeds,Kharif,25.0,Hectare,19.0,Tonnes,0.76,Tonnes/Hectare,Karimnagar
284761,2014-2015,Telangana,36,Karimnagar,508,Groundnut,1001.0,Oilseeds,Rabi,6947.0,Hectare,14366.0,Tonnes,2.068,Tonnes/Hectare,Karimnagar
284762,2014-2015,Telangana,36,Karimnagar,508,Groundnut,1001.0,Oilseeds,Total,6972.0,Hectare,14385.0,Tonnes,2.063,Tonnes/Hectare,Karimnagar
284763,2014-2015,Telangana,36,Karimnagar,508,Horse-Gram,206.0,Pulses,Rabi,4.0,Hectare,2.0,Tonnes,0.5,Tonnes/Hectare,Karimnagar
284764,2014-2015,Telangana,36,Karimnagar,508,Jowar,102.0,Cereals,Kharif,4.0,Hectare,4.0,Tonnes,1.0,Tonnes/Hectare,Karimnagar
284765,2014-2015,Telangana,36,Karimnagar,508,Jowar,102.0,Cereals,Rabi,1271.0,Hectare,1940.0,Tonnes,1.526,Tonnes/Hectare,Karimnagar
284766,2014-2015,Telangana,36,Karimnagar,508,Jowar,102.0,Cereals,Total,1275.0,Hectare,1944.0,Tonnes,1.525,Tonnes/Hectare,Karimnagar
284767,2014-2015,Telangana,36,Karimnagar,508,Maize,104.0,Cereals,Kharif,53598.0,Hectare,245318.0,Tonnes,4.577,Tonnes/Hectare,Karimnagar
284768,2014-2015,Telangana,36,Karimnagar,508,Maize,104.0,Cereals,Rabi,54493.0,Hectare,296987.0,Tonnes,5.45,Tonnes/Hectare,Karimnagar
284769,2014-2015,Telangana,36,Karimnagar,508,Maize,104.0,Cereals,Total,108091.0,Hectare,542305.0,Tonnes,5.017,Tonnes/Hectare,Karimnagar
284770,2014-2015,Telangana,36,Karimnagar,508,Moong(Green Gram),204.0,Pulses,Kharif,3044.0,Hectare,1129.0,Tonnes,0.371,Tonnes/Hectare,Karimnagar
284771,2014-2015,Telangana,36,Karimnagar,508,Moong(Green Gram),204.0,Pulses,Rabi,4308.0,Hectare,2537.0,Tonnes,0.589,Tonnes/Hectare,Karimnagar
284772,2014-2015,Telangana,36,Karimnagar,508,Moong(Green Gram),204.0,Pulses,Total,7352.0,Hectare,3666.0,Tonnes,0.499,Tonnes/Hectare,Karimnagar
284773,2014-2015,Telangana,36,Karimnagar,508,Onion,708.0,Vegetable,Kharif,18.0,Hectare,280.0,Tonnes,15.556,Tonnes/Hectare,Karimnagar
284774,2014-2015,Telangana,36,Karimnagar,508,Onion,708.0,Vegetable,Rabi,551.0,Hectare,15051.0,Tonnes,27.316,Tonnes/Hectare,Karimnagar
284775,2014-2015,Telangana,36,Karimnagar,508,Onion,708.0,Vegetable,Total,569.0,Hectare,15331.0,Tonnes,26.944,Tonnes/Hectare,Karimnagar
284776,2014-2015,Telangana,36,Karimnagar,508,Other Kharif Pulses,288.0,Pulses,Kharif,11.0,Hectare,6.0,Tonnes,0.545,Tonnes/Hectare,Karimnagar
284777,2014-2015,Telangana,36,Karimnagar,508,Other Rabi Pulses,288.0,Pulses,Rabi,42.0,Hectare,84.0,Tonnes,2.0,Tonnes/Hectare,Karimnagar
284778,2014-2015,Telangana,36,Karimnagar,508,Rapeseed &Mustard,1004.0,Oilseeds,Rabi,1119.0,Hectare,2269.0,Tonnes,2.028,Tonnes/Hectare,Karimnagar
284779,2014-2015,Telangana,36,Karimnagar,508,Rice,101.0,Cereals,Kharif,179282.0,Hectare,632136.0,Tonnes,3.526,Tonnes/Hectare,Karimnagar
284780,2014-2015,Telangana,36,Karimnagar,508,Rice,101.0,Cereals,Rabi,99151.0,Hectare,358827.0,Tonnes,3.619,Tonnes/Hectare,Karimnagar
284781,2014-2015,Telangana,36,Karimnagar,508,Rice,101.0,Cereals,Total,278433.0,Hectare,990963.0,Tonnes,3.559,Tonnes/Hectare,Karimnagar
284782,2014-2015,Telangana,36,Karimnagar,508,Sesamum,1003.0,Oilseeds,Kharif,10.0,Hectare,2.0,Tonnes,0.2,Tonnes/Hectare,Karimnagar
284783,2014-2015,Telangana,36,Karimnagar,508,Sesamum,1003.0,Oilseeds,Rabi,7269.0,Hectare,3664.0,Tonnes,0.504,Tonnes/Hectare,Karimnagar
284784,2014-2015,Telangana,36,Karimnagar,508,Sesamum,1003.0,Oilseeds,Total,7279.0,Hectare,3666.0,Tonnes,0.504,Tonnes/Hectare,Karimnagar
284785,2014-2015,Telangana,36,Karimnagar,508,Soyabean,1009.0,Oilseeds,Kharif,16533.0,Hectare,17872.0,Tonnes,1.081,Tonnes/Hectare,Karimnagar
284786,2014-2015,Telangana,36,Karimnagar,508,Sugarcane,401.0,Sugar,Kharif,2046.0,Hectare,165728.0,Tonnes,81.001,Tonnes/Hectare,Karimnagar
284787,2014-2015,Telangana,36,Karimnagar,508,Sunflower,1007.0,Oilseeds,Rabi,542.0,Hectare,810.0,Tonnes,1.494,Tonnes/Hectare,Karimnagar
284788,2014-2015,Telangana,36,Karimnagar,508,Sweet Potato,703.0,Vegetable,Kharif,2.0,Hectare,16.0,Tonnes,8.0,Tonnes/Hectare,Karimnagar
284789,2014-2015,Telangana,36,Karimnagar,508,Tobacco,1302.0,Drugs And Narcotics,Rabi,8.0,Hectare,31.0,Tonnes,3.875,Tonnes/Hectare,Karimnagar
284790,2014-2015,Telangana,36,Karimnagar,508,Turmeric,504.0,Spices,Kharif,10363.0,Hectare,64986.0,Tonnes,6.271,Tonnes/Hectare,Karimnagar
284791,2014-2015,Telangana,36,Karimnagar,508,Urad,203.0,Pulses,Kharif,68.0,Hectare,45.0,Tonnes,0.662,Tonnes/Hectare,Karimnagar
284792,2014-2015,Telangana,36,Karimnagar,508,Urad,203.0,Pulses,Rabi,2315.0,Hectare,940.0,Tonnes,0.406,Tonnes/Hectare,Karimnagar
284793,2014-2015,Telangana,36,Karimnagar,508,Urad,203.0,Pulses,Total,2383.0,Hectare,985.0,Tonnes,0.413,Tonnes/Hectare,Karimnagar
284794,2014-2015,Telangana,36,Khammam,509,Arhar/Tur,202.0,Pulses,Kharif,1873.0,Hectare,978.0,Tonnes,0.522,Tonnes/Hectare,Khammam
284795,2014-2015,Telangana,36,Khammam,509,Arhar/Tur,202.0,Pulses,Rabi,89.0,Hectare,46.0,Tonnes,0.517,Tonnes/Hectare,Khammam
284796,2014-2015,Telangana,36,Khammam,509,Arhar/Tur,202.0,Pulses,Total,1962.0,Hectare,1024.0,Tonnes,0.522,Tonnes/Hectare,Khammam
284797,2014-2015,Telangana,36,Khammam,509,Banana,606.0,Fruits,Kharif,358.0,Hectare,15518.0,Tonnes,43.346,Tonnes/Hectare,Khammam
284798,2014-2015,Telangana,36,Khammam,509,Cashewnut,619.0,Fruits,Kharif,4077.0,Hectare,2283.0,Tonnes,0.56,Tonnes/Hectare,Khammam
284799,2014-2015,Telangana,36,Khammam,509,Coconut,1006.0,Oilseeds,Whole Year,437.0,Hectare,9222885.0,Tonnes,21105.0,Tonnes/Hectare,Khammam
284800,2014-2015,Telangana,36,Khammam,509,Cotton(Lint),1101.0,Fiber Crops,Kharif,157416.0,Hectare,484286.0,Tonnes,3.076,Tonnes/Hectare,Khammam
284801,2014-2015,Telangana,36,Khammam,509,Cowpea(Lobia),288.0,Pulses,Rabi,1374.0,Hectare,1944.0,Tonnes,1.415,Tonnes/Hectare,Khammam
284802,2014-2015,Telangana,36,Khammam,509,Dry Chillies,502.0,Spices,Kharif,20843.0,Hectare,78432.0,Tonnes,3.763,Tonnes/Hectare,Khammam
284803,2014-2015,Telangana,36,Khammam,509,Dry Chillies,502.0,Spices,Rabi,5795.0,Hectare,35645.0,Tonnes,6.151,Tonnes/Hectare,Khammam
284804,2014-2015,Telangana,36,Khammam,509,Dry Chillies,502.0,Spices,Total,26638.0,Hectare,114077.0,Tonnes,4.282,Tonnes/Hectare,Khammam
284805,2014-2015,Telangana,36,Khammam,509,Gram,201.0,Pulses,Rabi,18.0,Hectare,25.0,Tonnes,1.389,Tonnes/Hectare,Khammam
284806,2014-2015,Telangana,36,Khammam,509,Groundnut,1001.0,Oilseeds,Kharif,351.0,Hectare,552.0,Tonnes,1.573,Tonnes/Hectare,Khammam
284807,2014-2015,Telangana,36,Khammam,509,Groundnut,1001.0,Oilseeds,Rabi,4024.0,Hectare,7662.0,Tonnes,1.904,Tonnes/Hectare,Khammam
284808,2014-2015,Telangana,36,Khammam,509,Groundnut,1001.0,Oilseeds,Total,4375.0,Hectare,8214.0,Tonnes,1.877,Tonnes/Hectare,Khammam
284809,2014-2015,Telangana,36,Khammam,509,Horse-Gram,206.0,Pulses,Rabi,16.0,Hectare,6.0,Tonnes,0.375,Tonnes/Hectare,Khammam
284810,2014-2015,Telangana,36,Khammam,509,Jowar,102.0,Cereals,Kharif,1.0,Hectare,1.0,Tonnes,1.0,Tonnes/Hectare,Khammam
284811,2014-2015,Telangana,36,Khammam,509,Jowar,102.0,Cereals,Rabi,529.0,Hectare,599.0,Tonnes,1.132,Tonnes/Hectare,Khammam
284812,2014-2015,Telangana,36,Khammam,509,Jowar,102.0,Cereals,Total,530.0,Hectare,600.0,Tonnes,1.132,Tonnes/Hectare,Khammam
284813,2014-2015,Telangana,36,Khammam,509,Maize,104.0,Cereals,Kharif,16750.0,Hectare,56330.0,Tonnes,3.363,Tonnes/Hectare,Khammam
284814,2014-2015,Telangana,36,Khammam,509,Maize,104.0,Cereals,Rabi,16045.0,Hectare,104694.0,Tonnes,6.525,Tonnes/Hectare,Khammam
284815,2014-2015,Telangana,36,Khammam,509,Maize,104.0,Cereals,Total,32795.0,Hectare,161024.0,Tonnes,4.91,Tonnes/Hectare,Khammam
