id,year,state_name,state_code,district_name,district_code,irrigated_area_type,area_classification,area_sub_classification,irrigated_area,old_district_name,year_start,previous_year_area,historical_avg_area,area_change,area_change_pct
135936,2017-2018,Telangana,36,Siddipet,692.0,Gross Irrigated Area,Canal,Government,60761.0,Medak,2017,20274.0,25473.0,40487.0,199.69912202821348
135942,2017-2018,Telangana,36,Siddipet,692.0,Net Irrigated Area,Canal,Government,58262.0,Medak,2017,60761.0,37235.666666666664,-2499.0,-4.112835535952338
143496,2018-2019,Telangana,36,Siddipet,692.0,Gross Irrigated Area,Canal,Government,39338.0,Medak,2018,58262.0,42492.25,-18924.0,-32.480862311626794
143502,2018-2019,Telangana,36,Siddipet,692.0,Net Irrigated Area,Canal,Government,30200.0,Medak,2018,39338.0,41861.4,-9138.0,-23.229447353703797
151152,2019-2020,Telangana,36,Siddipet,692.0,Gross Irrigated Area,Canal,Government,83203.0,Medak,2019,30200.0,39917.833333333336,53003.0,175.5066225165563
151158,2019-2020,Telangana,36,Siddipet,692.0,Net Irrigated Area,Canal,Government,52590.0,Medak,2019,83203.0,46101.42857142857,-30613.0,-36.79314447796354
158916,2020-2021,Telangana,36,Siddipet,692.0,Gross Irrigated Area,Canal,Government,104400.0,Medak,2020,52590.0,46912.5,51810.0,98.51682829435255
158922,2020-2021,Telangana,36,Siddipet,692.0,Net Irrigated Area,Canal,Government,62688.0,Medak,2020,104400.0,53300.0,-41712.0,-39.95402298850575
164508,2021-2022,Telangana,36,Siddipet,692.0,Gross Irrigated Area,Canal,Government,81923.0,Medak,2021,62688.0,54238.8,19235.0,30.683703420112302
164514,2021-2022,Telangana,36,Siddipet,692.0,Net Irrigated Area,Canal,Government,44772.0,Medak,2021,81923.0,56755.545454545456,-37151.0,-45.34868107857378
171072,2022-2023,Telangana,36,Siddipet,692.0,Gross Irrigated Area,Canal,Government,5131.0,Medak,2022,44772.0,55756.916666666664,-39641.0,-88.53971232020012
171078,2022-2023,Telangana,36,Siddipet,692.0,Net Irrigated Area,Canal,Government,2823.0,Medak,2022,5131.0,51862.61538461538,-2308.0,-44.98148509062561
128437,2016-2017,Telangana,36,Siddipet,692.0,Gross Irrigated Area,Canal,Private,48681.0,Medak,2016,,,,
128443,2016-2017,Telangana,36,Siddipet,692.0,Net Irrigated Area,Canal,Private,48681.0,Medak,2016,48681.0,48681.0,0.0,0.0
135937,2017-2018,Telangana,36,Siddipet,692.0,Gross Irrigated Area,Canal,Private,48681.0,Medak,2017,48681.0,48681.0,0.0,0.0
135943,2017-2018,Telangana,36,Siddipet,692.0,Net Irrigated Area,Canal,Private,48681.0,Medak,2017,48681.0,48681.0,0.0,0.0
143497,2018-2019,Telangana,36,Siddipet,692.0,Gross Irrigated Area,Canal,Private,48681.0,Medak,2018,48681.0,48681.0,0.0,0.0
143503,2018-2019,Telangana,36,Siddipet,692.0,Net Irrigated Area,Canal,Private,48681.0,Medak,2018,48681.0,48681.0,0.0,0.0
151153,2019-2020,Telangana,36,Siddipet,692.0,Gross Irrigated Area,Canal,Private,48681.0,Medak,2019,48681.0,48681.0,0.0,0.0
151159,2019-2020,Telangana,36,Siddipet,692.0,Net Irrigated Area,Canal,Private,48681.0,Medak,2019,48681.0,48681.0,0.0,0.0
158917,2020-2021,Telangana,36,Siddipet,692.0,Gross Irrigated Area,Canal,Private,48681.0,Medak,2020,48681.0,48681.0,0.0,0.0
158923,2020-2021,Telangana,36,Siddipet,692.0,Net Irrigated Area,Canal,Private,48681.0,Medak,2020,48681.0,48681.0,0.0,0.0
164509,2021-2022,Telangana,36,Siddipet,692.0,Gross Irrigated Area,Canal,Private,48681.0,Medak,2021,48681.0,48681.0,0.0,0.0
164515,2021-2022,Telangana,36,Siddipet,692.0,Net Irrigated Area,Canal,Private,48681.0,Medak,2021,48681.0,48681.0,0.0,0.0
171073,2022-2023,Telangana,36,Siddipet,692.0,Gross Irrigated Area,Canal,Private,48681.0,Medak,2022,48681.0,48681.0,0.0,0.0
171079,2022-2023,Telangana,36,Siddipet,692.0,Net Irrigated Area,Canal,Private,48681.0,Medak,2022,48681.0,48681.0,0.0,0.0
128438,2016-2017,Telangana,36,Siddipet,692.0,Gross Irrigated Area,Other Source,Other Source,37.0,Medak,2016,,,,
128444,2016-2017,Telangana,36,Siddipet,692.0,Net Irrigated Area,Other Source,Other Source,37.0,Medak,2016,37.0,37.0,0.0,0.0
135938,2017-2018,Telangana,36,Siddipet,692.0,Gross Irrigated Area,Other Source,Other Source,31.0,Medak,2017,37.0,37.0,-6.0,-16.216216216216218
135944,2017-2018,Telangana,36,Siddipet,692.0,Net Irrigated Area,Other Source,Other Source,31.0,Medak,2017,31.0,35.0,0.0,0.0
143498,2018-2019,Telangana,36,Siddipet,692.0,Gross Irrigated Area,Other Source,Other Source,31.0,Medak,2018,31.0,34.0,0.0,0.0
143504,2018-2019,Telangana,36,Siddipet,692.0,Net Irrigated Area,Other Source,Other Source,31.0,Medak,2018,31.0,33.4,0.0,0.0
151154,2019-2020,Telangana,36,Siddipet,692.0,Gross Irrigated Area,Other Source,Other Source,24.0,Medak,2019,31.0,33.0,-7.0,-22.58064516129032
151160,2019-2020,Telangana,36,Siddipet,692.0,Net Irrigated Area,Other Source,Other Source,24.0,Medak,2019,24.0,31.714285714285715,0.0,0.0
158918,2020-2021,Telangana,36,Siddipet,692.0,Gross Irrigated Area,Other Source,Other Source,31.0,Medak,2020,24.0,30.75,7.0,29.166666666666668
158924,2020-2021,Telangana,36,Siddipet,692.0,Net Irrigated Area,Other Source,Other Source,31.0,Medak,2020,31.0,30.77777777777778,0.0,0.0
164510,2021-2022,Telangana,36,Siddipet,692.0,Gross Irrigated Area,Other Source,Other Source,31.0,Medak,2021,31.0,30.8,0.0,0.0
164516,2021-2022,Telangana,36,Siddipet,692.0,Net Irrigated Area,Other Source,Other Source,31.0,Medak,2021,31.0,30.818181818181817,0.0,0.0
171074,2022-2023,Telangana,36,Siddipet,692.0,Gross Irrigated Area,Other Source,Other Source,37.0,Medak,2022,31.0,30.833333333333332,6.0,19.35483870967742
171080,2022-2023,Telangana,36,Siddipet,692.0,Net Irrigated Area,Other Source,Other Source,31.0,Medak,2022,37.0,31.307692307692307,-6.0,-16.216216216216218
128439,2016-2017,Telangana,36,Siddipet,692.0,Gross Irrigated Area,Tank,Tank,4468.0,Medak,2016,,,,
128445,2016-2017,Telangana,36,Siddipet,692.0,Net Irrigated Area,Tank,Tank,4468.0,Medak,2016,4468.0,4468.0,0.0,0.0
135939,2017-2018,Telangana,36,Siddipet,692.0,Gross Irrigated Area,Tank,Tank,3510.0,Medak,2017,4468.0,4468.0,-958.0,-21.44136078782453
135945,2017-2018,Telangana,36,Siddipet,692.0,Net Irrigated Area,Tank,Tank,3510.0,Medak,2017,3510.0,4148.666666666667,0.0,0.0
143499,2018-2019,Telangana,36,Siddipet,692.0,Gross Irrigated Area,Tank,Tank,2644.0,Medak,2018,3510.0,3989.0,-866.0,-24.672364672364672
143505,2018-2019,Telangana,36,Siddipet,692.0,Net Irrigated Area,Tank,Tank,1904.0,Medak,2018,2644.0,3720.0,-740.0,-27.987897125567322
151155,2019-2020,Telangana,36,Siddipet,692.0,Gross Irrigated Area,Tank,Tank,5097.0,Medak,2019,1904.0,3417.3333333333335,3193.0,167.69957983193277
151161,2019-2020,Telangana,36,Siddipet,692.0,Net Irrigated Area,Tank,Tank,4485.0,Medak,2019,5097.0,3657.285714285714,-612.0,-12.007062978222484
158919,2020-2021,Telangana,36,Siddipet,692.0,Gross Irrigated Area,Tank,Tank,6789.0,Medak,2020,4485.0,3760.75,2304.0,51.371237458193974
158925,2020-2021,Telangana,36,Siddipet,692.0,Net Irrigated Area,Tank,Tank,5634.0,Medak,2020,6789.0,4097.222222222223,-1155.0,-17.012814847547503
164511,2021-2022,Telangana,36,Siddipet,692.0,Gross Irrigated Area,Tank,Tank,7502.0,Medak,2021,5634.0,4250.9,1868.0,33.155839545615905
164517,2021-2022,Telangana,36,Siddipet,692.0,Net Irrigated Area,Tank,Tank,4352.0,Medak,2021,7502.0,4546.454545454545,-3150.0,-41.988802985870436
171075,2022-2023,Telangana,36,Siddipet,692.0,Gross Irrigated Area,Tank,Tank,24917.0,Medak,2022,4352.0,4530.25,20565.0,472.5413602941177
171081,2022-2023,Telangana,36,Siddipet,692.0,Net Irrigated Area,Tank,Tank,14530.0,Medak,2022,24917.0,6098.461538461538,-10387.0,-41.68639884416262
128440,2016-2017,Telangana,36,Siddipet,692.0,Gross Irrigated Area,Well,Other Well,15268.0,Medak,2016,,,,
128446,2016-2017,Telangana,36,Siddipet,692.0,Net Irrigated Area,Well,Other Well,10382.0,Medak,2016,15268.0,15268.0,-4886.0,-32.001571915116585
135940,2017-2018,Telangana,36,Siddipet,692.0,Gross Irrigated Area,Well,Other Well,8673.0,Medak,2017,10382.0,12825.0,-1709.0,-16.46118281641302
135946,2017-2018,Telangana,36,Siddipet,692.0,Net Irrigated Area,Well,Other Well,8413.0,Medak,2017,8673.0,11441.0,-260.0,-2.997809293208809
