id,year,state_name,state_code,district_name,district_code,irrigated_area_type,area_classification,area_sub_classification,irrigated_area,old_district_name
120976,2015-2016,Telangana,36,Mahabubnagar,512.0,Gross Irrigated Area,Well,Other Well,6666.0,Mahabubnagar
120977,2015-2016,Telangana,36,Mahabubnagar,512.0,Gross Irrigated Area,Well,Tubewell,210943.0,Mahabubnagar
120978,2015-2016,Telangana,36,Mahabubnagar,512.0,Net Irrigated Area,Canal,Government,11415.0,Mahabubnagar
120979,2015-2016,Telangana,36,Mahabubnagar,512.0,Net Irrigated Area,Canal,Private,,Mahabubnagar
120980,2015-2016,Telangana,36,Mahabubnagar,512.0,Net Irrigated Area,Other Source,Other Source,12002.0,Mahabubnagar
120981,2015-2016,Telangana,36,Mahabubnagar,512.0,Net Irrigated Area,Tank,Tank,1885.0,Mahabubnagar
120982,2015-2016,Telangana,36,Mahabubnagar,512.0,Net Irrigated Area,Well,Other Well,6611.0,Mahabubnagar
120983,2015-2016,Telangana,36,Mahabubnagar,512.0,Net Irrigated Area,Well,Tubewell,180051.0,Mahabubnagar
120984,2015-2016,Telangana,36,Medak,513.0,Gross Irrigated Area,Canal,Government,,Medak
120985,2015-2016,Telangana,36,Medak,513.0,Gross Irrigated Area,Canal,Private,,Medak
120986,2015-2016,Telangana,36,Medak,513.0,Gross Irrigated Area,Other Source,Other Source,197.0,Medak
120987,2015-2016,Telangana,36,Medak,513.0,Gross Irrigated Area,Tank,Tank,108.0,Medak
120988,2015-2016,Telangana,36,Medak,513.0,Gross Irrigated Area,Well,Other Well,5788.0,Medak
120989,2015-2016,Telangana,36,Medak,513.0,Gross Irrigated Area,Well,Tubewell,165127.0,Medak
120990,2015-2016,Telangana,36,Medak,513.0,Net Irrigated Area,Canal,Government,,Medak
120991,2015-2016,Telangana,36,Medak,513.0,Net Irrigated Area,Canal,Private,,Medak
120992,2015-2016,Telangana,36,Medak,513.0,Net Irrigated Area,Other Source,Other Source,197.0,Medak
120993,2015-2016,Telangana,36,Medak,513.0,Net Irrigated Area,Tank,Tank,108.0,Medak
120994,2015-2016,Telangana,36,Medak,513.0,Net Irrigated Area,Well,Other Well,3915.0,Medak
120995,2015-2016,Telangana,36,Medak,513.0,Net Irrigated Area,Well,Tubewell,109516.0,Medak
120996,2015-2016,Telangana,36,Nalgonda,514.0,Gross Irrigated Area,Canal,Government,5259.0,Nalgonda
120997,2015-2016,Telangana,36,Nalgonda,514.0,Gross Irrigated Area,Canal,Private,,Nalgonda
120998,2015-2016,Telangana,36,Nalgonda,514.0,Gross Irrigated Area,Other Source,Other Source,9608.0,Nalgonda
120999,2015-2016,Telangana,36,Nalgonda,514.0,Gross Irrigated Area,Tank,Tank,7544.0,Nalgonda
121000,2015-2016,Telangana,36,Nalgonda,514.0,Gross Irrigated Area,Well,Other Well,53510.0,Nalgonda
121001,2015-2016,Telangana,36,Nalgonda,514.0,Gross Irrigated Area,Well,Tubewell,197605.0,Nalgonda
121002,2015-2016,Telangana,36,Nalgonda,514.0,Net Irrigated Area,Canal,Government,3743.0,Nalgonda
121003,2015-2016,Telangana,36,Nalgonda,514.0,Net Irrigated Area,Canal,Private,,Nalgonda
121004,2015-2016,Telangana,36,Nalgonda,514.0,Net Irrigated Area,Other Source,Other Source,4829.0,Nalgonda
121005,2015-2016,Telangana,36,Nalgonda,514.0,Net Irrigated Area,Tank,Tank,7544.0,Nalgonda
121006,2015-2016,Telangana,36,Nalgonda,514.0,Net Irrigated Area,Well,Other Well,36952.0,Nalgonda
121007,2015-2016,Telangana,36,Nalgonda,514.0,Net Irrigated Area,Well,Tubewell,136237.0,Nalgonda
121008,2015-2016,Telangana,36,Nizamabad,516.0,Gross Irrigated Area,Canal,Government,,Nizamabad
121009,2015-2016,Telangana,36,Nizamabad,516.0,Gross Irrigated Area,Canal,Private,,Nizamabad
121010,2015-2016,Telangana,36,Nizamabad,516.0,Gross Irrigated Area,Other Source,Other Source,804.0,Nizamabad
121011,2015-2016,Telangana,36,Nizamabad,516.0,Gross Irrigated Area,Tank,Tank,25.0,Nizamabad
121012,2015-2016,Telangana,36,Nizamabad,516.0,Gross Irrigated Area,Well,Other Well,221.0,Nizamabad
121013,2015-2016,Telangana,36,Nizamabad,516.0,Gross Irrigated Area,Well,Tubewell,198028.0,Nizamabad
121014,2015-2016,Telangana,36,Nizamabad,516.0,Net Irrigated Area,Canal,Government,,Nizamabad
121015,2015-2016,Telangana,36,Nizamabad,516.0,Net Irrigated Area,Canal,Private,,Nizamabad
121016,2015-2016,Telangana,36,Nizamabad,516.0,Net Irrigated Area,Other Source,Other Source,723.0,Nizamabad
121017,2015-2016,Telangana,36,Nizamabad,516.0,Net Irrigated Area,Tank,Tank,25.0,Nizamabad
121018,2015-2016,Telangana,36,Nizamabad,516.0,Net Irrigated Area,Well,Other Well,39.0,Nizamabad
121019,2015-2016,Telangana,36,Nizamabad,516.0,Net Irrigated Area,Well,Tubewell,126838.0,Nizamabad
121020,2015-2016,Telangana,36,Ranga Reddy,518.0,Gross Irrigated Area,Canal,Government,,Ranga Reddy
121021,2015-2016,Telangana,36,Ranga Reddy,518.0,Gross Irrigated Area,Canal,Private,,Ranga Reddy
121022,2015-2016,Telangana,36,Ranga Reddy,518.0,Gross Irrigated Area,Other Source,Other Source,2404.0,Ranga Reddy
121023,2015-2016,Telangana,36,Ranga Reddy,518.0,Gross Irrigated Area,Tank,Tank,483.0,Ranga Reddy
121024,2015-2016,Telangana,36,Ranga Reddy,518.0,Gross Irrigated Area,Well,Other Well,1204.0,Ranga Reddy
