id,year,state_name,state_code,district_name,district_code,food_category,crop_type,sub_crop_type,crop_name,crop_code,season,area,old_district_name,year_start,previous_year_area,historical_avg_area,area_change
452124,2017-2018,Telangana,36,Adilabad,501.0,Food Crop,Cereals & Millets,Cereals & Millets,Jowar,102.0,Summer,0.0,Adilabad,2017,2909.0,1113.5454545454545,-2909.0
477322,2018-2019,Telangana,36,Adilabad,501.0,Food Crop,Cereals & Millets,Cereals & Millets,Jowar,102.0,Kharif,0.0,Adilabad,2018,0.0,1020.75,0.0
477323,2018-2019,Telangana,36,Adilabad,501.0,Food Crop,Cereals & Millets,Cereals & Millets,Jowar,102.0,Rabi,3234.0,Adilabad,2018,0.0,942.2307692307693,3234.0
477324,2018-2019,Telangana,36,Adilabad,501.0,Food Crop,Cereals & Millets,Cereals & Millets,Jowar,102.0,Summer,0.0,Adilabad,2018,3234.0,1105.9285714285713,-3234.0
502762,2019-2020,Telangana,36,Adilabad,501.0,Food Crop,Cereals & Millets,Cereals & Millets,Jowar,102.0,Kharif,0.0,Adilabad,2019,0.0,1032.2,0.0
502763,2019-2020,Telangana,36,Adilabad,501.0,Food Crop,Cereals & Millets,Cereals & Millets,Jowar,102.0,Rabi,6580.0,Adilabad,2019,0.0,967.6875,6580.0
502764,2019-2020,Telangana,36,Adilabad,501.0,Food Crop,Cereals & Millets,Cereals & Millets,Jowar,102.0,Summer,0.0,Adilabad,2019,6580.0,1297.8235294117646,-6580.0
528642,2020-2021,Telangana,36,Adilabad,501.0,Food Crop,Cereals & Millets,Cereals & Millets,Jowar,102.0,Kharif,6.0,Adilabad,2020,0.0,1225.7222222222222,6.0
528643,2020-2021,Telangana,36,Adilabad,501.0,Food Crop,Cereals & Millets,Cereals & Millets,Jowar,102.0,Rabi,13831.0,Adilabad,2020,6.0,1161.5263157894738,13825.0
528644,2020-2021,Telangana,36,Adilabad,501.0,Food Crop,Cereals & Millets,Cereals & Millets,Jowar,102.0,Summer,0.0,Adilabad,2020,13831.0,1795.0,-13831.0
547282,2021-2022,Telangana,36,Adilabad,501.0,Food Crop,Cereals & Millets,Cereals & Millets,Jowar,102.0,Kharif,11.0,Adilabad,2021,0.0,1709.5238095238096,11.0
547283,2021-2022,Telangana,36,Adilabad,501.0,Food Crop,Cereals & Millets,Cereals & Millets,Jowar,102.0,Rabi,13392.0,Adilabad,2021,11.0,1632.3181818181818,13381.0
547284,2021-2022,Telangana,36,Adilabad,501.0,Food Crop,Cereals & Millets,Cereals & Millets,Jowar,102.0,Summer,0.0,Adilabad,2021,13392.0,2143.608695652174,-13392.0
569162,2022-2023,Telangana,36,Adilabad,501.0,Food Crop,Cereals & Millets,Cereals & Millets,Jowar,102.0,Kharif,11.0,Adilabad,2022,0.0,2054.2916666666665,11.0
569163,2022-2023,Telangana,36,Adilabad,501.0,Food Crop,Cereals & Millets,Cereals & Millets,Jowar,102.0,Rabi,15655.0,Adilabad,2022,11.0,1972.56,15644.0
569164,2022-2023,Telangana,36,Adilabad,501.0,Food Crop,Cereals & Millets,Cereals & Millets,Jowar,102.0,Summer,0.0,Adilabad,2022,15655.0,2498.8076923076924,-15655.0
379067,2014-2015,Telangana,36,Adilabad,501.0,Non Food Crop,Fiber,Fiber,Jute,1102.0,Kharif,0.0,Adilabad,2014,,,
403107,2015-2016,Telangana,36,Adilabad,501.0,Non Food Crop,Fiber,Fiber,Jute,1102.0,Kharif,0.0,Adilabad,2015,0.0,0.0,0.0
427147,2016-2017,Telangana,36,Adilabad,501.0,Non Food Crop,Fiber,Fiber,Jute,1102.0,Kharif,0.0,Adilabad,2016,0.0,0.0,0.0
452147,2017-2018,Telangana,36,Adilabad,501.0,Non Food Crop,Fiber,Fiber,Jute,1102.0,Kharif,0.0,Adilabad,2017,0.0,0.0,0.0
477347,2018-2019,Telangana,36,Adilabad,501.0,Non Food Crop,Fiber,Fiber,Jute,1102.0,Kharif,0.0,Adilabad,2018,0.0,0.0,0.0
502787,2019-2020,Telangana,36,Adilabad,501.0,Non Food Crop,Fiber,Fiber,Jute,1102.0,Kharif,0.0,Adilabad,2019,0.0,0.0,0.0
528667,2020-2021,Telangana,36,Adilabad,501.0,Non Food Crop,Fiber,Fiber,Jute,1102.0,Kharif,0.0,Adilabad,2020,0.0,0.0,0.0
547307,2021-2022,Telangana,36,Adilabad,501.0,Non Food Crop,Fiber,Fiber,Jute,1102.0,Kharif,0.0,Adilabad,2021,0.0,0.0,0.0
569187,2022-2023,Telangana,36,Adilabad,501.0,Non Food Crop,Fiber,Fiber,Jute,1102.0,Kharif,0.0,Adilabad,2022,0.0,0.0,0.0
379073,2014-2015,Telangana,36,Adilabad,501.0,Non Food Crop,Oilseeds,Oilseeds,Linseed,1005.0,Rabi,0.0,Adilabad,2014,,,
403113,2015-2016,Telangana,36,Adilabad,501.0,Non Food Crop,Oilseeds,Oilseeds,Linseed,1005.0,Rabi,0.0,Adilabad,2015,0.0,0.0,0.0
427153,2016-2017,Telangana,36,Adilabad,501.0,Non Food Crop,Oilseeds,Oilseeds,Linseed,1005.0,Rabi,0.0,Adilabad,2016,0.0,0.0,0.0
452153,2017-2018,Telangana,36,Adilabad,501.0,Non Food Crop,Oilseeds,Oilseeds,Linseed,1005.0,Rabi,0.0,Adilabad,2017,0.0,0.0,0.0
477353,2018-2019,Telangana,36,Adilabad,501.0,Non Food Crop,Oilseeds,Oilseeds,Linseed,1005.0,Rabi,0.0,Adilabad,2018,0.0,0.0,0.0
502793,2019-2020,Telangana,36,Adilabad,501.0,Non Food Crop,Oilseeds,Oilseeds,Linseed,1005.0,Rabi,0.0,Adilabad,2019,0.0,0.0,0.0
528673,2020-2021,Telangana,36,Adilabad,501.0,Non Food Crop,Oilseeds,Oilseeds,Linseed,1005.0,Rabi,0.0,Adilabad,2020,0.0,0.0,0.0
547313,2021-2022,Telangana,36,Adilabad,501.0,Non Food Crop,Oilseeds,Oilseeds,Linseed,1005.0,Rabi,0.0,Adilabad,2021,0.0,0.0,0.0
569193,2022-2023,Telangana,36,Adilabad,501.0,Non Food Crop,Oilseeds,Oilseeds,Linseed,1005.0,Rabi,0.0,Adilabad,2022,0.0,0.0,0.0
379045,2014-2015,Telangana,36,Adilabad,501.0,Food Crop,Cereals & Millets,Cereals & Millets,Maize,104.0,Kharif,19840.0,Adilabad,2014,,,
403085,2015-2016,Telangana,36,Adilabad,501.0,Food Crop,Cereals & Millets,Cereals & Millets,Maize,104.0,Kharif,16972.0,Adilabad,2015,19840.0,19840.0,-2868.0
427125,2016-2017,Telangana,36,Adilabad,501.0,Food Crop,Cereals & Millets,Cereals & Millets,Maize,104.0,Kharif,1240.0,Adilabad,2016,16972.0,18406.0,-15732.0
452125,2017-2018,Telangana,36,Adilabad,501.0,Food Crop,Cereals & Millets,Cereals & Millets,Maize,104.0,Kharif,1134.0,Adilabad,2017,1240.0,12684.0,-106.0
477325,2018-2019,Telangana,36,Adilabad,501.0,Food Crop,Cereals & Millets,Cereals & Millets,Maize,104.0,Kharif,1033.0,Adilabad,2018,1134.0,9796.5,-101.0
502765,2019-2020,Telangana,36,Adilabad,501.0,Food Crop,Cereals & Millets,Cereals & Millets,Maize,104.0,Kharif,3158.0,Adilabad,2019,1033.0,8043.8,2125.0
