id,year,state_name,state_code,district_name,district_code,crop_name,crop_code,crop_type,season,area,area_unit,production,production_unit,yield,yield_unit,old_district_name,year_start,previous_year_yield,historical_avg_yield,previous_year_production,previous_year_area
385945,2019-2020,Telangana,36,Mancherial,684,Arhar/Tur,202.0,Pulses,Kharif,1413.0,Hectare,971.0,Tonnes,0.687,Tonnes/Hectare,Adilabad,2019,1.369,1.024125,14857.0,10853.0
386225,2019-2020,Telangana,36,Nirmal,680,Arhar/Tur,202.0,Pulses,Kharif,8844.0,Hectare,11057.0,Tonnes,1.25,Tonnes/Hectare,Adilabad,2019,0.687,1.0042941176470588,971.0,1413.0
406867,2020-2021,Telangana,36,Adilabad,501,Arhar/Tur,202.0,Pulses,Kharif,25002.0,Hectare,22671.0,Tonnes,0.907,Tonnes/Hectare,Adilabad,2020,1.25,1.0179444444444445,11057.0,8844.0
407352,2020-2021,Telangana,36,Kumuram Bheem Asifabad,699,Arhar/Tur,202.0,Pulses,Kharif,15806.0,Hectare,17848.0,Tonnes,1.129,Tonnes/Hectare,Adilabad,2020,0.907,1.0121052631578948,22671.0,25002.0
407493,2020-2021,Telangana,36,Mancherial,684,Arhar/Tur,202.0,Pulses,Kharif,2466.0,Hectare,2445.0,Tonnes,0.991,Tonnes/Hectare,Adilabad,2020,1.129,1.0179500000000001,17848.0,15806.0
407817,2020-2021,Telangana,36,Nirmal,680,Arhar/Tur,202.0,Pulses,Kharif,8344.0,Hectare,10245.0,Tonnes,1.228,Tonnes/Hectare,Adilabad,2020,0.991,1.0166666666666668,2445.0,2466.0
428122,2021-2022,Telangana,36,Adilabad,501,Arhar/Tur,202.0,Pulses,Kharif,24482.0,Hectare,24286.0,Tonnes,0.992,Tonnes/Hectare,Adilabad,2021,1.228,1.0262727272727272,10245.0,8344.0
428686,2021-2022,Telangana,36,Kumuram Bheem Asifabad,699,Arhar/Tur,202.0,Pulses,Kharif,16456.0,Hectare,16688.0,Tonnes,1.014,Tonnes/Hectare,Adilabad,2021,0.992,1.0247826086956522,24286.0,24482.0
428850,2021-2022,Telangana,36,Mancherial,684,Arhar/Tur,202.0,Pulses,Kharif,1901.0,Hectare,1473.0,Tonnes,0.775,Tonnes/Hectare,Adilabad,2021,1.014,1.0243333333333333,16688.0,16456.0
429239,2021-2022,Telangana,36,Nirmal,680,Arhar/Tur,202.0,Pulses,Kharif,7033.0,Hectare,5858.0,Tonnes,0.833,Tonnes/Hectare,Adilabad,2021,0.775,1.0143600000000002,1473.0,1901.0
450137,2022-2023,Telangana,36,Adilabad,501,Arhar/Tur,202.0,Pulses,Kharif,30725.0,Hectare,30633.0,Tonnes,0.997,Tonnes/Hectare,Adilabad,2022,0.833,1.0073846153846153,5858.0,7033.0
450638,2022-2023,Telangana,36,Kumuram Bheem Asifabad,699,Arhar/Tur,202.0,Pulses,Kharif,15875.0,Hectare,16304.0,Tonnes,1.027,Tonnes/Hectare,Adilabad,2022,0.997,1.007,30633.0,30725.0
450797,2022-2023,Telangana,36,Mancherial,684,Arhar/Tur,202.0,Pulses,Kharif,1095.0,Hectare,922.0,Tonnes,0.842,Tonnes/Hectare,Adilabad,2022,1.027,1.0077142857142858,16304.0,15875.0
451127,2022-2023,Telangana,36,Nirmal,680,Arhar/Tur,202.0,Pulses,Kharif,4280.0,Hectare,4828.0,Tonnes,1.128,Tonnes/Hectare,Adilabad,2022,0.842,1.002,922.0,1095.0
