id,year,state_name,state_code,district_name,district_code,irrigated_area_type,area_classification,area_sub_classification,irrigated_area,old_district_name
5432,1998-1999,Telangana,36,Ranga Reddy,518.0,Net Irrigated Area,Other Source,Other Source,1759.0,Ranga Reddy
5433,1998-1999,Telangana,36,Ranga Reddy,518.0,Net Irrigated Area,Tank,Tank,7590.0,Ranga Reddy
5434,1998-1999,Telangana,36,Ranga Reddy,518.0,Net Irrigated Area,Well,Other Well,30539.0,Ranga Reddy
5435,1998-1999,Telangana,36,Ranga Reddy,518.0,Net Irrigated Area,Well,Tubewell,32154.0,Ranga Reddy
5436,1998-1999,Telangana,36,Warangal,522.0,Gross Irrigated Area,Canal,Government,2150.0,Warangal
5437,1998-1999,Telangana,36,Warangal,522.0,Gross Irrigated Area,Canal,Private,,Warangal
5438,1998-1999,Telangana,36,Warangal,522.0,Gross Irrigated Area,Other Source,Other Source,4009.0,Warangal
5439,1998-1999,Telangana,36,Warangal,522.0,Gross Irrigated Area,Tank,Tank,105342.0,Warangal
5440,1998-1999,Telangana,36,Warangal,522.0,Gross Irrigated Area,Well,Other Well,237983.0,Warangal
5441,1998-1999,Telangana,36,Warangal,522.0,Gross Irrigated Area,Well,Tubewell,16470.0,Warangal
5442,1998-1999,Telangana,36,Warangal,522.0,Net Irrigated Area,Canal,Government,1746.0,Warangal
5443,1998-1999,Telangana,36,Warangal,522.0,Net Irrigated Area,Canal,Private,,Warangal
5444,1998-1999,Telangana,36,Warangal,522.0,Net Irrigated Area,Other Source,Other Source,2894.0,Warangal
5445,1998-1999,Telangana,36,Warangal,522.0,Net Irrigated Area,Tank,Tank,83063.0,Warangal
5446,1998-1999,Telangana,36,Warangal,522.0,Net Irrigated Area,Well,Other Well,200903.0,Warangal
5447,1998-1999,Telangana,36,Warangal,522.0,Net Irrigated Area,Well,Tubewell,11783.0,Warangal
12036,1999-2000,Telangana,36,Adilabad,501.0,Gross Irrigated Area,Canal,Government,27341.0,Adilabad
12037,1999-2000,Telangana,36,Adilabad,501.0,Gross Irrigated Area,Canal,Private,,Adilabad
