id,year,state_name,state_code,district_name,district_code,food_category,crop_type,sub_crop_type,crop_name,crop_code,season,area,old_district_name
17850,1998-1999,Telangana,36,Karimnagar,508.0,Food Crop,Cereals & Millets,Cereals & Millets,Rice,101.0,Autumn,132930.0,Karimnagar
17851,1998-1999,Telangana,36,Karimnagar,508.0,Food Crop,Cereals & Millets,Cereals & Millets,Rice,101.0,Kharif,,Karimnagar
17852,1998-1999,Telangana,36,Karimnagar,508.0,Food Crop,Cereals & Millets,Cereals & Millets,Rice,101.0,Summer,123316.0,Karimnagar
17853,1998-1999,Telangana,36,Karimnagar,508.0,Food Crop,Cereals & Millets,Cereals & Millets,Rice,101.0,Winter,,Karimnagar
17854,1998-1999,Telangana,36,Karimnagar,508.0,Food Crop,Cereals & Millets,Cereals & Millets,Wheat,106.0,,183.0,Karimnagar
17855,1998-1999,Telangana,36,Karimnagar,508.0,Food Crop,Other Food Crops,Other Food Crops,Other Food Crops,801.0,,11792.0,Karimnagar
17856,1998-1999,Telangana,36,Karimnagar,508.0,Food Crop,Pulses,Pulses,Arhar(Tur),202.0,,150.0,Karimnagar
17857,1998-1999,Telangana,36,Karimnagar,508.0,Food Crop,Pulses,Pulses,Gram,201.0,,34.0,Karimnagar
17858,1998-1999,Telangana,36,Karimnagar,508.0,Food Crop,Pulses,Pulses,Other Pulses,288.0,Kharif,,Karimnagar
17859,1998-1999,Telangana,36,Karimnagar,508.0,Food Crop,Pulses,Pulses,Other Pulses,288.0,Rabi,408.0,Karimnagar
17860,1998-1999,Telangana,36,Karimnagar,508.0,Food Crop,Pulses,Pulses,Other Pulses,288.0,Summer,,Karimnagar
17861,1998-1999,Telangana,36,Karimnagar,508.0,Food Crop,Sugar,Sugar,Sugarcane,401.0,,3094.0,Karimnagar
17862,1998-1999,Telangana,36,Karimnagar,508.0,Non Food Crop,"Drugs, Narcotics and plantation Crop","Drugs, Narcotics and plantation Crop",Coffee,1502.0,,,Karimnagar
17863,1998-1999,Telangana,36,Karimnagar,508.0,Non Food Crop,"Drugs, Narcotics and plantation Crop","Drugs, Narcotics and plantation Crop",Other Plantation Crops,1588.0,,,Karimnagar
17864,1998-1999,Telangana,36,Karimnagar,508.0,Non Food Crop,"Drugs, Narcotics and plantation Crop","Drugs, Narcotics and plantation Crop",Tea,1501.0,,,Karimnagar
17865,1998-1999,Telangana,36,Karimnagar,508.0,Non Food Crop,"Drugs, Narcotics and plantation Crop","Drugs, Narcotics and plantation Crop",Tobacco,1302.0,,470.0,Karimnagar
17866,1998-1999,Telangana,36,Karimnagar,508.0,Non Food Crop,Fiber,Fiber,Cotton,1101.0,,20215.0,Karimnagar
17867,1998-1999,Telangana,36,Karimnagar,508.0,Non Food Crop,Fiber,Fiber,Jute,1102.0,,,Karimnagar
