id,year,state_name,state_code,district_name,district_code,crop_name,crop_code,crop_type,season,area,area_unit,production,production_unit,yield,yield_unit,old_district_name
450247,2022-2023,Telangana,36,Hanumakonda,686,Gram,201.0,Pulses,Kharif,1.0,Hectare,2.0,Tonnes,2.0,Tonnes/Hectare,Warangal
450248,2022-2023,Telangana,36,Hanumakonda,686,Gram,201.0,Pulses,Rabi,22.0,Hectare,44.0,Tonnes,2.0,Tonnes/Hectare,Warangal
450249,2022-2023,Telangana,36,Hanumakonda,686,Gram,201.0,Pulses,Total,23.0,Hectare,46.0,Tonnes,2.0,Tonnes/Hectare,Warangal
450250,2022-2023,Telangana,36,Hanumakonda,686,Groundnut,1001.0,Oilseeds,Kharif,16.0,Hectare,34.0,Tonnes,2.125,Tonnes/Hectare,Warangal
450251,2022-2023,Telangana,36,Hanumakonda,686,Groundnut,1001.0,Oilseeds,Rabi,127.0,Hectare,185.0,Tonnes,1.457,Tonnes/Hectare,Warangal
450252,2022-2023,Telangana,36,Hanumakonda,686,Groundnut,1001.0,Oilseeds,Total,143.0,Hectare,219.0,Tonnes,1.531,Tonnes/Hectare,Warangal
450253,2022-2023,Telangana,36,Hanumakonda,686,Horse-Gram,206.0,Pulses,Rabi,2.0,Hectare,1.0,Tonnes,0.5,Tonnes/Hectare,Warangal
450254,2022-2023,Telangana,36,Hanumakonda,686,Jowar,102.0,Cereals,Kharif,8.0,Hectare,5.0,Tonnes,0.625,Tonnes/Hectare,Warangal
450255,2022-2023,Telangana,36,Hanumakonda,686,Jowar,102.0,Cereals,Rabi,1.0,Hectare,2.0,Tonnes,2.0,Tonnes/Hectare,Warangal
450256,2022-2023,Telangana,36,Hanumakonda,686,Jowar,102.0,Cereals,Total,9.0,Hectare,7.0,Tonnes,0.778,Tonnes/Hectare,Warangal
450257,2022-2023,Telangana,36,Hanumakonda,686,Maize,104.0,Cereals,Kharif,1862.0,Hectare,9848.0,Tonnes,5.289,Tonnes/Hectare,Warangal
450258,2022-2023,Telangana,36,Hanumakonda,686,Maize,104.0,Cereals,Rabi,18221.0,Hectare,139336.0,Tonnes,7.647,Tonnes/Hectare,Warangal
450259,2022-2023,Telangana,36,Hanumakonda,686,Maize,104.0,Cereals,Total,20083.0,Hectare,149184.0,Tonnes,7.428,Tonnes/Hectare,Warangal
450260,2022-2023,Telangana,36,Hanumakonda,686,Moong(Green Gram),204.0,Pulses,Kharif,26.0,Hectare,17.0,Tonnes,0.654,Tonnes/Hectare,Warangal
450261,2022-2023,Telangana,36,Hanumakonda,686,Moong(Green Gram),204.0,Pulses,Rabi,12.0,Hectare,12.0,Tonnes,1.0,Tonnes/Hectare,Warangal
