id,date,state_code,state_name,district_code,district_name,actual,rfs,normal,deviation
2967461,2024-07-23,36,Telangana,512,Mahabubnagar,,0.0,6.3,
2967462,2024-07-24,36,Telangana,513,Medak,,0.0,15.4,
2967463,2024-07-24,36,Telangana,501,Adilabad,,0.0,13.8,
2967464,2024-07-24,36,Telangana,514,Nalgonda,,0.0,8.3,
2967465,2024-07-24,36,Telangana,518,Ranga Reddy,,0.0,9.0,
2967466,2024-07-24,36,Telangana,507,Hyderabad,,0.0,10.1,
2967467,2024-07-24,36,Telangana,522,Warangal,,0.0,12.6,
2967468,2024-07-24,36,Telangana,516,Nizamabad,,0.0,18.4,
2967469,2024-07-24,36,Telangana,508,Karimnagar,,0.0,14.5,
2967470,2024-07-24,36,Telangana,509,Khammam,,0.0,13.3,
2967471,2024-07-24,36,Telangana,512,Mahabubnagar,,0.0,8.5,
2967472,2024-07-25,36,Telangana,513,Medak,,0.0,9.7,
2967473,2024-07-25,36,Telangana,501,Adilabad,,0.0,11.2,
2967474,2024-07-25,36,Telangana,514,Nalgonda,,0.0,6.8,
2967475,2024-07-25,36,Telangana,518,Ranga Reddy,,0.0,8.2,
2967476,2024-07-25,36,Telangana,507,Hyderabad,,0.0,11.3,
2967477,2024-07-25,36,Telangana,522,Warangal,,0.0,11.3,
2967478,2024-07-25,36,Telangana,516,Nizamabad,,0.0,10.0,
2967479,2024-07-25,36,Telangana,508,Karimnagar,,0.0,11.4,
2967480,2024-07-25,36,Telangana,509,Khammam,,0.0,12.0,
2967481,2024-07-25,36,Telangana,512,Mahabubnagar,,0.0,6.8,
2967482,2024-07-26,36,Telangana,513,Medak,,0.0,8.5,
2967483,2024-07-26,36,Telangana,501,Adilabad,,0.0,11.7,
2967484,2024-07-26,36,Telangana,514,Nalgonda,,0.0,3.8,
2967485,2024-07-26,36,Telangana,518,Ranga Reddy,,0.0,5.2,
2967486,2024-07-26,36,Telangana,507,Hyderabad,,0.0,4.1,
2967487,2024-07-26,36,Telangana,522,Warangal,,0.0,7.7,
2967488,2024-07-26,36,Telangana,516,Nizamabad,,0.0,9.6,
2967489,2024-07-26,36,Telangana,508,Karimnagar,,0.0,7.4,
2967490,2024-07-26,36,Telangana,509,Khammam,,0.0,8.7,
2967491,2024-07-26,36,Telangana,512,Mahabubnagar,,0.0,4.6,
2967492,2024-07-27,36,Telangana,513,Medak,,0.0,6.0,
2967493,2024-07-27,36,Telangana,501,Adilabad,,0.0,10.0,
2967494,2024-07-27,36,Telangana,514,Nalgonda,,0.0,4.5,
2967495,2024-07-27,36,Telangana,518,Ranga Reddy,,0.0,6.3,
2967496,2024-07-27,36,Telangana,507,Hyderabad,,0.0,4.5,
2967497,2024-07-27,36,Telangana,522,Warangal,,0.0,6.9,
2967498,2024-07-27,36,Telangana,516,Nizamabad,,0.0,7.8,
2967499,2024-07-27,36,Telangana,508,Karimnagar,,0.0,6.3,
2967500,2024-07-27,36,Telangana,509,Khammam,,0.0,12.0,
2967501,2024-07-27,36,Telangana,512,Mahabubnagar,,0.0,8.6,
2967502,2024-07-28,36,Telangana,513,Medak,,0.0,8.4,
2967503,2024-07-28,36,Telangana,501,Adilabad,,0.0,8.7,
2967504,2024-07-28,36,Telangana,514,Nalgonda,,0.0,4.8,
2967505,2024-07-28,36,Telangana,518,Ranga Reddy,,0.0,6.3,
2967506,2024-07-28,36,Telangana,507,Hyderabad,,0.0,5.1,
2967507,2024-07-28,36,Telangana,522,Warangal,,0.0,7.5,
2967508,2024-07-28,36,Telangana,516,Nizamabad,,0.0,7.2,
2967509,2024-07-28,36,Telangana,508,Karimnagar,,0.0,8.6,
2967510,2024-07-28,36,Telangana,509,Khammam,,0.0,9.3,
2967511,2024-07-28,36,Telangana,512,Mahabubnagar,,0.0,6.8,
2967512,2024-07-29,36,Telangana,513,Medak,,0.0,8.8,
2967513,2024-07-29,36,Telangana,501,Adilabad,,0.0,11.3,
2967514,2024-07-29,36,Telangana,514,Nalgonda,,0.0,4.6,
2967515,2024-07-29,36,Telangana,518,Ranga Reddy,,0.0,6.3,
2967516,2024-07-29,36,Telangana,507,Hyderabad,,0.0,6.6,
2967517,2024-07-29,36,Telangana,522,Warangal,,0.0,8.7,
2967518,2024-07-29,36,Telangana,516,Nizamabad,,0.0,11.7,
2967519,2024-07-29,36,Telangana,508,Karimnagar,,0.0,10.7,
2967520,2024-07-29,36,Telangana,509,Khammam,,0.0,11.8,
2967521,2024-07-29,36,Telangana,512,Mahabubnagar,,0.0,6.8,
2967522,2024-07-30,36,Telangana,513,Medak,,0.0,11.4,
2967523,2024-07-30,36,Telangana,501,Adilabad,,0.0,14.3,
2967524,2024-07-30,36,Telangana,514,Nalgonda,,0.0,4.9,
2967525,2024-07-30,36,Telangana,518,Ranga Reddy,,0.0,7.2,
2967526,2024-07-30,36,Telangana,507,Hyderabad,,0.0,6.5,
2967527,2024-07-30,36,Telangana,522,Warangal,,0.0,9.9,
2967528,2024-07-30,36,Telangana,516,Nizamabad,,0.0,14.5,
2967529,2024-07-30,36,Telangana,508,Karimnagar,,0.0,11.2,
2967530,2024-07-30,36,Telangana,509,Khammam,,0.0,11.6,
2967531,2024-07-30,36,Telangana,512,Mahabubnagar,,0.0,8.8,
2967532,2024-07-31,36,Telangana,513,Medak,,0.0,9.5,
2967533,2024-07-31,36,Telangana,501,Adilabad,,0.0,12.3,
2967534,2024-07-31,36,Telangana,514,Nalgonda,,0.0,5.9,
2967535,2024-07-31,36,Telangana,518,Ranga Reddy,,0.0,7.0,
2967536,2024-07-31,36,Telangana,507,Hyderabad,,0.0,6.0,
2967537,2024-07-31,36,Telangana,522,Warangal,,0.0,11.2,
